Time,ThermostatTargetTemperature,LivingroomTemperatureFault,LivingroomTemperatureBase
2505.2,20.5,20.288016,20.776927
2510.2,20.5,20.309585,20.728252
2515.2,20.5,20.331098,20.679704
2520.1,20.5,20.331098,20.679704
2520.2,20.5,20.352555,20.631283
2525.2,20.5,20.373955,20.58299
2530.2,20.5,20.395299,20.534823
2535.2,20.5,20.416588,20.486782
2540.2,20.5,20.43782,20.438867
2545.2,20.5,20.458997,20.391077
2550.1,20.5,20.458997,20.391077
2550.2,20.5,20.480119,20.343413
2555.2,20.5,20.501185,20.295874
2560.2,20.5,20.522196,20.248459
2565.2,20.5,20.543152,20.201168
2570.2,20.5,20.564053,20.154002
2575.2,20.5,20.584899,20.106958
2580.1,20.5,20.584899,20.106958
2580.2,20.5,20.60569,20.060039
2585.2,20.5,20.626427,20.013242
2590.2,20.5,20.64711,19.966567
2595.2,20.5,20.667739,19.920016
2600.2,20.5,20.688313,19.873586
2605.2,20.5,20.708834,19.827277
2610.1,20.5,20.708834,19.827277
2610.2,20.5,20.729301,19.850031
2615.2,20.5,20.749714,19.872748
2620.2,20.5,20.770073,19.895405
2625.2,20.5,20.79038,19.918004
2630.2,20.5,20.810633,19.940543
2635.2,20.5,20.830833,19.963023
2640.1,20.5,20.830833,19.963023
2640.2,20.5,20.85098,19.985444
2645.2,20.5,20.871075,20.007806
2650.2,20.5,20.891116,20.030109
2655.2,20.5,20.911105,20.052355
2660.2,20.5,20.931042,20.074542
2665.2,20.5,20.950927,20.09667
2670.1,20.5,20.950927,20.09667
2670.2,20.5,20.901819,20.118741
2675.2,20.5,20.852816,20.140754
2680.2,20.5,20.803942,20.162709
2685.2,20.5,20.755196,20.184607
2690.2,20.5,20.706578,20.206448
2695.2,20.5,20.658087,20.228231
2700.1,20.5,20.658087,20.228231
2700.2,20.5,20.609723,20.249957
2705.2,20.5,20.561486,20.271626
2710.2,20.5,20.513375,20.293238
2715.2,20.5,20.46539,20.314794
2720.2,20.5,20.417531,20.336293
2725.2,20.5,20.369798,20.357736
2730.1,20.5,20.369798,20.357736
2730.2,20.5,20.322189,20.379123
2735.2,20.5,20.274705,20.400454
2740.2,20.5,20.227346,20.421729
2745.2,20.5,20.180111,20.442948
2750.2,20.5,20.132999,20.464111
2755.2,20.5,20.086011,20.485219
2760.1,20.5,20.086011,20.485219
2760.2,20.5,20.039146,20.506272
2765.2,20.5,19.992404,20.52727
2770.2,20.5,19.945784,20.548212
2775.2,20.5,19.899287,20.5691
2780.2,20.5,19.852911,20.589933
2785.2,20.5,19.806657,20.610711
2790.1,20.5,19.806657,20.610711
2790.2,20.5,19.760524,20.631435
2795.2,20.5,19.714512,20.652105
2800.2,20.5,19.668621,20.67272
2805.2,20.5,19.622849,20.693282
2810.2,20.5,19.577198,20.713789
2815.2,20.5,19.531666,20.734243
2820.1,20.5,19.531666,20.734243
2820.2,20.5,19.486254,20.754643
2825.2,20.5,19.44096,20.77499
2830.2,20.5,19.395786,20.795284
2835.2,20.5,19.350729,20.815524
2840.2,20.5,19.305791,20.835711
2845.2,20.5,19.26097,20.855846
2850.1,20.5,19.26097,20.855846
2850.2,20.5,19.216267,20.875927
2855.2,20.5,19.171681,20.895956
2860.2,20.5,19.127212,20.915933
2865.2,20.5,19.082859,20.935857
2870.2,20.5,19.038623,20.955729
2875.2,20.5,18.994502,20.975549
2880.1,20.5,18.994502,20.975549
2880.2,20.5,18.950497,20.926376
2885.2,20.5,18.906607,20.877309
2890.2,20.5,18.862833,20.828371
2895.2,20.5,18.819173,20.779561
2900.2,20.5,18.775627,20.730879
2905.2,20.5,18.732196,20.682324
2910.1,20.5,18.732196,20.682324
2910.2,20.5,18.688878,20.633897
2915.2,20.5,18.645674,20.585596
2920.2,20.5,18.602583,20.537422
2925.2,20.5,18.559605,20.489374
2930.2,20.5,18.51674,20.441453
2935.2,20.5,18.473986,20.393656
2940.1,20.5,18.473986,20.393656
2940.2,20.5,18.431345,20.345985
2945.2,20.5,18.388816,20.298439
2950.2,20.5,18.346398,20.251018
2955.2,20.5,18.304091,20.20372
2960.2,20.5,18.261895,20.156547
2965.2,20.5,18.21981,20.109497
2970.1,20.5,18.21981,20.109497
2970.2,20.5,18.177835,20.062571
2975.2,20.5,18.13597,20.015767
2980.2,20.5,18.094214,19.969086
2985.2,20.5,18.052568,19.922528
2990.2,20.5,18.011031,19.876091
2995.2,20.5,17.969603,19.829776
3000.1,20.5,17.969603,19.829776
3000.2,20.5,17.928284,19.852524
3005.2,20.5,17.887072,19.875234
3010.2,20.5,17.845969,19.897885
3015.2,20.5,17.804974,19.920477
3020.2,20.5,17.764085,19.943009
3025.2,20.5,17.723304,19.965483
